cloud,instance,compute,compute_label,plan,vcpu,memory,baserate,dburate,hourrate,selector,region,storage
AWS,c5.24xlarge,Jobs Light Compute,Jobs Light Compute ($0.07/DBU),Standard,96,192,0.07,3.860,0.2702,c5.24xlarge | 96CPUs | 192GB | 3.86DBU/hr | $0.2702/hr,,
AWS,c5.24xlarge,Jobs Light Compute,Jobs Light Compute ($0.10/DBU),Premium,96,192,0.10,3.860,0.3860,c5.24xlarge | 96CPUs | 192GB | 3.86DBU/hr | $0.386/hr,,
AWS,c5.24xlarge,Jobs Light Compute,Jobs Light Compute ($0.13/DBU),Enterprise,96,192,0.13,3.860,0.5018,c5.24xlarge | 96CPUs | 192GB | 3.86DBU/hr | $0.5018/hr,,
AWS,c5.2xlarge,All-Purpose Compute,All-Purpose Compute ($0.40/DBU),Standard,8,16,0.40,1.210,0.4840,c5.2xlarge | 8CPUs | 16GB | 1.21DBU/hr | $0.484/hr,,
AWS,c5.2xlarge,All-Purpose Compute,All-Purpose Compute ($0.55/DBU),Premium,8,16,0.55,1.210,0.6655,c5.2xlarge | 8CPUs | 16GB | 1.21DBU/hr | $0.6655/hr,,
AWS,c5.2xlarge,All-Purpose Compute,All-Purpose Compute ($0.65/DBU),Enterprise,8,16,0.65,1.210,0.7865,c5.2xlarge | 8CPUs | 16GB | 1.21DBU/hr | $0.7865/hr,,
AWS,c5.2xlarge,DLT Advanced Compute,DLT Advanced Compute ($0.36/DBU),Standard,8,16,0.36,1.210,0.4356,c5.2xlarge | 8CPUs | 16GB | 1.21DBU/hr | $0.4356/hr,,
AWS,c5.2xlarge,DLT Advanced Compute,DLT Advanced Compute ($0.36/DBU),Premium,8,16,0.36,1.210,0.4356,c5.2xlarge | 8CPUs | 16GB | 1.21DBU/hr | $0.4356/hr,,
AWS,c5.2xlarge,DLT Advanced Compute,DLT Advanced Compute ($0.36/DBU),Enterprise,8,16,0.36,1.210,0.4356,c5.2xlarge | 8CPUs | 16GB | 1.21DBU/hr | $0.4356/hr,,
AWS,c5.2xlarge,DLT Core Compute,DLT Core Compute ($0.20/DBU),Standard,8,16,0.20,1.210,0.2420,c5.2xlarge | 8CPUs | 16GB | 1.21DBU/hr | $0.242/hr,,
AWS,c5.2xlarge,DLT Core Compute,DLT Core Compute ($0.20/DBU),Premium,8,16,0.20,1.210,0.2420,c5.2xlarge | 8CPUs | 16GB | 1.21DBU/hr | $0.242/hr,,
AWS,c5.2xlarge,DLT Core Compute,DLT Core Compute ($0.20/DBU),Enterprise,8,16,0.20,1.210,0.2420,c5.2xlarge | 8CPUs | 16GB | 1.21DBU/hr | $0.242/hr,,
AWS,c5.2xlarge,DLT Pro Compute,DLT Pro Compute ($0.25/DBU),Standard,8,16,0.25,1.210,0.3025,c5.2xlarge | 8CPUs | 16GB | 1.21DBU/hr | $0.3025/hr,,
AWS,c5.2xlarge,DLT Pro Compute,DLT Pro Compute ($0.25/DBU),Premium,8,16,0.25,1.210,0.3025,c5.2xlarge | 8CPUs | 16GB | 1.21DBU/hr | $0.3025/hr,,
AWS,c5.2xlarge,DLT Pro Compute,DLT Pro Compute ($0.25/DBU),Enterprise,8,16,0.25,1.210,0.3025,c5.2xlarge | 8CPUs | 16GB | 1.21DBU/hr | $0.3025/hr,,
AWS,c5.2xlarge,Jobs Compute,Jobs Compute ($0.10/DBU),Standard,8,16,0.10,1.210,0.1210,c5.2xlarge | 8CPUs | 16GB | 1.21DBU/hr | $0.121/hr,,
AWS,c5.2xlarge,Jobs Compute,Jobs Compute ($0.15/DBU),Premium,8,16,0.15,1.210,0.1815,c5.2xlarge | 8CPUs | 16GB | 1.21DBU/hr | $0.1815/hr,,
AWS,c5.2xlarge,Jobs Compute,Jobs Compute ($0.20/DBU),Enterprise,8,16,0.20,1.210,0.2420,c5.2xlarge | 8CPUs | 16GB | 1.21DBU/hr | $0.242/hr,,
AWS,c5.2xlarge,Jobs Light Compute,Jobs Light Compute ($0.07/DBU),Standard,8,16,0.07,1.210,0.0847,c5.2xlarge | 8CPUs | 16GB | 1.21DBU/hr | $0.0847/hr,,
AWS,c5.2xlarge,Jobs Light Compute,Jobs Light Compute ($0.10/DBU),Premium,8,16,0.10,1.210,0.1210,c5.2xlarge | 8CPUs | 16GB | 1.21DBU/hr | $0.121/hr,,
